team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
England,20,27.0,62.8,5,55,450,5.0,13,11,12,1,2,1,0,2.60,2.20,4.80,2.40,4.60,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55,5,5,450,4,0.80,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0,0,1,0,2.5,0.24,-1.5,-0.30,20,51,39.2,123,14,27.6,29.2,36,47.2,45.9,39,2,5.1,5,1.00,16.2,61,27,44.3,12.20,5.40,0.20,0.44,16.0,4,0.12,+4.3,+4.9,2775,3211,86.4,50485,15112,1198,1299,92.2,1280,1391,92.0,263,407,64.6,6.0,+5.3,46,166,45,7,186,2981,225,69,4,29,82,86,25,10,13,1,5,46,111,22.20,66,13,11,7,10,4,24,4.80,17,1,4,0,2,0,65,44,26,25,14,22,34,64.7,12,48,13,35,38,103,55,0,3630,231,1006,1891,770,114,3628,36,78,46.2,59,29,2734,180,90,100,82,33,22,19,47,2.00,13,4,+9,+1.80,8.7,4.0,+4.6,+0.92,0,53,65,5,2,1,0,227,60,66,47.6
France,24,27.2,51.3,7,77,660,7.3,16,12,14,2,2,8,0,2.18,1.64,3.82,1.91,3.55,13.8,12.2,10.3,22.5,1.88,1.40,3.28,1.67,3.06,7,7,660,8,1.09,27,19,81.5,5,1,1,1,14.3,4,3,0,1,0.0,0,1,0,9.3,0.24,+1.3,+0.18,35,112,31.3,147,28,48.3,39.1,65,63.1,47.8,89,8,9.0,5,0.68,13.6,100,33,33.0,13.64,4.50,0.14,0.42,15.8,2,0.13,+2.2,+1.8,3279,3968,82.6,59236,18437,1484,1645,90.2,1411,1579,89.4,339,578,58.7,9.2,+1.7,80,300,52,20,186,3604,348,96,11,25,132,134,38,18,14,0,16,65,183,24.95,135,16,10,14,6,2,29,3.95,24,0,0,4,1,0,145,88,77,54,14,55,91,60.4,36,71,22,49,77,222,103,1,4748,398,1276,2394,1133,174,4746,69,145,47.6,97,68,3235,181,94,100,85,49,28,24,63,2.29,16,8,+8,+1.09,13.8,10.0,+3.7,+0.51,0,69,85,16,1,4,0,364,106,78,57.6
Germany,20,28.1,59.3,3,33,270,3.0,6,5,5,1,1,3,0,2.00,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.50,5.85,3.09,5.59,3,3,270,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,-1,0,0,0,5.1,0.44,+0.1,+0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.00,20.3,68,23,33.8,22.67,7.67,0.07,0.22,16.6,1,0.14,-4.1,-4.3,1686,1990,84.7,27871,9490,797,881,90.5,662,725,91.3,149,230,64.8,7.2,-2.5,52,126,48,14,132,1827,151,37,5,13,68,66,25,8,14,2,12,35,124,41.33,96,7,6,8,4,3,12,4.00,11,0,0,0,1,0,50,27,24,20,6,26,43,60.5,17,41,7,34,21,71,24,3,2311,174,588,1035,707,127,2310,31,64,48.4,44,41,1665,128,90,100,82,18,15,18,30,1.33,6,5,+1,+0.33,10.1,3.4,+6.7,+2.22,0,26,27,12,1,0,0,164,36,33,52.2
Ghana,20,26.4,42.0,3,33,270,3.0,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.70,3,3,270,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4,25,9,36.0,8.33,3.00,0.20,0.56,19.0,0,0.14,+0.9,+1.6,972,1256,77.4,16652,6226,475,533,89.1,376,443,84.9,99,210,47.1,1.5,+0.3,18,67,12,4,62,1101,151,41,1,4,49,56,13,9,4,0,4,25,44,14.67,36,3,1,2,2,0,9,3.00,7,0,0,1,1,0,54,34,31,16,7,22,28,78.6,6,37,14,23,19,73,84,1,1616,215,630,670,338,40,1615,27,57,47.4,46,34,963,61,90,100,83,18,15,16,30,1.00,5,7,-2,-0.67,4.1,5.6,-1.4,-0.48,0,46,38,4,1,1,0,146,36,62,36.7
Iran,21,29.3,36.7,3,33,270,3.0,4,2,3,1,1,7,0,1.33,0.67,2.00,1.00,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75,3,3,270,7,2.33,15,8,53.3,1,0,1,1,33.3,0,0,0,0,-1,0,1,0,5.5,0.37,-1.5,-0.50,13,46,28.3,56,17,50.0,38.1,20,90.0,59.5,46,4,8.7,0,0.00,6.5,32,8,25.0,10.67,2.67,0.09,0.38,20.6,0,0.09,+0.8,+0.2,769,1106,69.5,14148,5637,312,382,81.7,332,425,78.1,96,225,42.7,2.7,-0.4,26,55,17,3,56,972,128,31,3,13,48,56,8,3,3,0,6,24,58,19.33,43,4,1,5,5,0,8,2.67,4,0,1,1,2,0,53,29,29,18,6,23,56,41.1,33,37,8,29,42,95,61,0,1428,181,557,592,302,44,1427,11,34,32.4,38,19,753,54,90,100,76,17,16,29,23,1.00,4,7,-3,-1.00,3.2,4.2,-0.9,-0.32,0,38,26,6,1,0,0,178,43,49,46.7
Japan,22,28.8,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5.0,5.0,3.5,8.5,1.15,0.81,1.96,1.15,1.96,4,4,390,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0,0,0,0,5.3,0.24,+1.3,+0.31,12,54,22.2,86,12,44.2,35.8,26,61.5,45.7,61,4,6.6,0,0.00,8.4,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2,0.12,0.0,0.0,1324,1750,75.7,23079,7896,636,735,86.5,540,652,82.8,125,283,44.2,2.5,+0.5,31,101,24,8,79,1572,169,43,4,10,55,71,19,9,6,0,9,29,75,17.31,51,6,2,10,4,2,8,1.85,5,1,0,1,1,0,70,38,29,34,7,25,42,59.5,17,62,19,43,34,104,101,2,2234,268,778,1024,453,66,2234,18,49,36.7,60,36,1302,77,98,100,83,24,20,33,38,1.75,5,4,+1,+0.23,5.0,5.7,-0.7,-0.15,0,58,36,9,0,1,0,220,59,76,43.7
Korea Republic,21,29.0,48.3,4,44,360,4.0,5,3,5,0,0,6,0,1.25,0.75,2.00,1.25,2.00,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98,4,4,360,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0,0,0,0,6.6,0.30,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2,50,18,36.0,12.50,4.50,0.10,0.28,18.3,2,0.09,+0.4,+0.4,1619,2022,80.1,30139,10119,705,792,89.0,671,777,86.4,209,360,58.1,3.0,-0.3,36,150,38,12,112,1832,183,39,1,34,92,79,24,9,11,0,7,33,86,21.50,65,7,2,6,4,2,8,2.00,5,0,0,0,2,1,59,33,28,23,8,30,51,58.8,21,31,8,23,31,90,66,1,2401,232,712,1031,671,74,2401,13,54,24.1,47,26,1593,107,90,100,82,28,16,21,44,1.00,5,8,-3,-0.75,4.6,7.1,-2.5,-0.63,0,45,34,7,0,1,0,175,72,59,55.0
Mexico,21,29.0,54.0,3,33,270,3.0,2,1,2,0,0,7,0,0.67,0.33,1.00,0.67,1.00,3.3,3.3,2.7,6.0,1.09,0.90,1.99,1.09,1.99,3,3,270,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.00,12.9,41,15,36.6,13.67,5.00,0.05,0.13,21.9,6,0.08,-1.3,-1.3,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,3.4,-1.7,25,95,19,10,77,1277,160,49,9,13,79,63,16,6,8,0,13,33,75,25.00,52,9,3,3,8,0,4,1.33,2,1,0,0,1,0,50,27,21,26,3,25,44,56.8,19,31,2,29,25,75,48,0,1768,134,504,887,392,51,1768,19,43,44.2,50,30,1081,74,90,100,83,21,12,21,33,1.33,2,3,-1,-0.33,3.3,2.4,+0.9,+0.30,0,51,48,13,0,1,0,151,48,51,48.5
Morocco,25,27.2,39.0,7,77,660,7.3,6,4,6,0,0,9,1,0.82,0.55,1.36,0.82,1.36,6.6,6.6,4.6,11.2,0.90,0.63,1.53,0.90,1.53,7,7,660,5,0.68,14,10,64.3,3,2,2,4,57.1,0,0,0,0,-1,0,0,1,3.9,0.28,-0.1,-0.01,37,92,40.2,166,20,30.1,31.8,69,60.9,46.8,109,5,4.6,6,0.82,12.6,61,17,27.9,8.32,2.32,0.10,0.35,19.1,3,0.11,-0.6,-0.6,2270,2889,78.6,38633,15136,1125,1272,88.4,833,985,84.6,239,454,52.6,3.2,-0.6,41,107,34,12,115,2550,320,97,3,45,75,126,12,5,2,0,19,47,107,14.59,79,8,8,5,7,0,10,1.36,6,1,1,0,2,0,129,79,76,45,8,68,124,54.8,56,86,20,66,68,197,163,2,3704,487,1556,1565,617,91,3704,50,126,39.7,126,53,2236,112,94,100,83,43,35,26,66,1.57,6,5,+1,+0.14,6.6,7.4,-0.8,-0.11,1,96,81,19,0,0,1,369,70,85,45.2
Netherlands,21,27.6,53.0,5,55,480,5.3,10,8,10,0,0,12,1,1.87,1.50,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41,5,5,480,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0,0,0,0,6.5,0.25,+2.5,+0.47,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,0.94,13.3,42,16,38.1,7.88,3.00,0.24,0.63,16.1,1,0.12,+5.4,+5.4,2472,2993,82.6,41845,14660,1195,1351,88.5,993,1130,87.9,230,383,60.1,3.5,+5.1,33,186,28,6,149,2743,242,66,7,15,71,107,19,7,8,0,8,38,71,13.31,54,8,0,6,3,0,16,3.00,12,1,0,2,1,0,91,47,39,40,12,34,55,61.8,21,58,18,40,52,143,97,1,3509,341,1065,1789,678,74,3509,19,61,31.1,73,44,2439,145,96,100,86,31,23,25,52,2.20,10,4,+6,+1.13,4.6,6.1,-1.5,-0.27,1,87,50,8,0,1,0,241,79,70,53.0
Poland,21,28.7,37.3,4,44,360,4.0,3,1,2,1,2,7,0,0.75,0.25,1.00,0.50,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18,4,4,360,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0,0,0,0,7.8,0.22,+2.8,+0.70,40,95,42.1,109,13,62.4,43.3,33,81.8,56.3,66,1,1.5,0,0.00,7.9,29,5,17.2,7.25,1.25,0.07,0.40,15.5,1,0.11,-1.5,-0.9,1169,1531,76.4,21855,8533,495,564,87.8,499,580,86.0,139,289,48.1,2.3,-0.8,22,80,15,8,50,1342,188,54,1,19,52,73,11,4,7,0,1,43,52,13.00,32,6,7,3,4,0,4,1.00,2,0,2,0,0,0,64,30,33,22,9,22,55,40.0,33,39,13,26,30,94,110,2,1956,289,715,895,365,54,1954,17,50,34.0,57,30,1147,49,90,100,82,29,15,23,45,1.00,3,5,-2,-0.50,4.5,7.3,-2.7,-0.69,0,47,47,1,1,2,0,164,51,60,45.9
